county,Part,id,crime_rate,violence_ratio_2021,theft_ratio_2021,rent,median_wage
Highland,Scotland,,469.9147691,192.0027138,116.6518255,514.9132321,24415
Inverclyde,Scotland,,681.4910026,245.2442159,179.6915167,485.6290672,23551
Midlothian,Scotland,,637.2485399,241.617997,204.8453385,692.2451193,22365
Moray,Scotland,,445.5228554,209.7683156,91.83886454,510.032538,25156
North Ayshire,Scotland,,730.5922517,300.5046757,207.6591955,747.5596529,27530
North Lanarkshire,Scotland,,829.4812081,326.8887131,236.9569675,545.010846,26479
Orkney Islands,Scotland,,284.687921,152.2227211,48.49573417,,20918
Perthshire and Kinross,Scotland,,425.1398486,171.1089174,128.3316881,571.0412148,27800
Renfrewshire,Scotland,,677.107761,280.7928532,191.4572864,823,23551
Scottish Borders,Scotland,,504.977924,223.790148,126.395983,504.3383948,22443
Shetland Islands,Scotland,,321.1169284,144.4153578,78.09773124,,29227
South Ayrshire,Scotland,,662.4633692,260.1012343,211.8817157,528.7418655,24309
South Lanarkshire,Scotland,,703.8342745,281.1281315,205.3785917,551.5184382,25345
Stirling,Scotland,,591.7630825,255.811485,161.0232459,684.9240781,27800
West Dunbartonshire,Scotland,,838.2997863,351.3999775,185.5391881,518.1670282,24276
West Lothian,Scotland,,615.456035,235.4997269,215.5652649,584.8698482,26309
Antrim,Ireland,Antrim and Newtownabbey,499.6160491,,,600,24141
Ards,Ireland,Ards and North Down,382.0493569,,,675,19608
Armagh,Ireland,"Armagh City, Banbridge and Craigavon",493.2299534,,,588,22594
Ballymena,Ireland,Mid and East Antrim,476.758645,,,550,21029
Ballymoney,Ireland,Causeway Coast and Glens,458.1262706,,,575,20975
Banbridge,Ireland,"Armagh City, Banbridge and Craigavon",493.2299534,,,588,22594
Belfast,Ireland,Belfast,954.6500641,,,700,27058
Carrickfergus,Ireland,Mid and East Antrim,476.758645,,,550,21029
Castlereagh,Ireland,Lisburn and Castlereagh,437.8584061,,,693,26000
Coleraine,Ireland,Causeway Coast and Glens,458.1262706,,,575,20975
Cookstown,Ireland,Mid Ulster,358.2384892,,,583,23051
Craigavon,Ireland,"Armagh City, Banbridge and Craigavon",493.2299534,,,588,22594
Derry,Ireland,Derry City and Strabane,741.7425779,,,557,20921
Down,Ireland,"Newry, Mourne and Down",485.7276043,,,609,21000
Dungannon,Ireland,Mid Ulster,358.2384892,,,583,23051
Fermanagh,Ireland,Fermanagh and Omagh,361.93832,,,520,21443
Larne,Ireland,Mid and East Antrim,476.758645,,,550,21029
Limavady,Ireland,Causeway Coast and Glens,458.1262706,,,575,20975
Lisburn,Ireland,Lisburn and Castlereagh,437.8584061,,,693,26000
Magherafelt,Ireland,Mid Ulster,358.2384892,,,583,23051
Moyle,Ireland,Causeway Coast and Glens,458.1262706,,,575,20975
Newry and Mourne,Ireland,"Newry, Mourne and Down",485.7276043,,,609,21000
Newtownabbey,Ireland,Antrim and Newtownabbey,499.6160491,,,600,24141
North Down,Ireland,Ards and North Down,382.0493569,,,675,19608
Omagh,Ireland,Fermanagh and Omagh,361.93832,,,520,21443
Strabane,Ireland,Derry City and Strabane,741.7425779,,,557,20921
